day_number,date,program,votes,amountUSD
1,2023-01-17 0:00,Alpha,2664,"$15,879.92"
2,2023-01-18 0:00,Alpha,7129,"$29,737.00"
3,2023-01-19 0:00,Alpha,8167,"$31,608.08"
4,2023-01-20 0:00,Alpha,5693,"$32,780.96"
5,2023-01-21 0:00,Alpha,8351,"$52,266.86"
6,2023-01-22 0:00,Alpha,10628,"$29,318.99"
7,2023-01-23 0:00,Alpha,8138,"$26,014.46"
8,2023-01-24 0:00,Alpha,8523,"$37,366.26"
9,2023-01-25 0:00,Alpha,11687,"$34,156.56"
10,2023-01-26 0:00,Alpha,8732,"$24,372.19"
11,2023-01-27 0:00,Alpha,13891,"$33,653.05"
12,2023-01-28 0:00,Alpha,16498,"$47,502.27"
13,2023-01-29 0:00,Alpha,17542,"$52,158.61"
14,2023-01-30 0:00,Alpha,28612,"$85,914.22"
15,2023-01-31 0:00,Alpha,44198,"$134,656.91"
