voter,rawScore
0xa37d20cd446898508ab961c6be8d3fe1c15413fa,30.24
0x0cac11a7d29ab8c87d8fedb9cc736146f4fe8e84,42.42
0xfd1abf735b0ec20f4a46f4e81ec73631f60ec0f7,23.35
0xb6f5d4ea633be503801360f4d954f2d3e99261e6,18.98
0xfbc6b719eb3360ec3a07964eff4f251c9b5d5d9e,28.36
0x4b040a88cb4edd02b97f0ab8c97d3da540fc2cf0,22.84
0x69f9e121702461ea52f627a6147ea3c6dc2def31,31.62
0x4b36dae68ae191443fdcff240f070ab8d7a4e00a,37.24
0x621a2a6ac129663ee2c4bc6f19b6c196f9c47af1,25.02
0x5579718eba9128f7a9b6316e81c6f867b44754e3,24.51
0xfb8cbbe182a98569d6f5cb4dda7f8093f2f36476,26.48
0x8289432acd5eb0214b1c2526a5edb480aa06a9ab,47.64
0xc6c86e890a7a1f0bb0d5ba2888207f2b6f72fae5,32.65
0x9364b8dc0a6b453f5825635a822630f6b03c420c,27.55
0xf592ace1fdbf9d140a1d93eae3d0843a2602737f,20.15
0xb42573ddb86b68429c8f791ed0f2b79d2ca95588,35.24
0x354af718783c01a2592b1d479575a8fa14521cd9,42.43
0x25b1300c94e09ff734eca4a918edf2709a836d2e,22.62
0x609fe9592effdf73231e595808f25a6e9b172465,23.25
0xe755a999cf9f36a2c932acc320ab089a0c68ed76,30.86
0x3bf5bceb1a247b21fdcd63f59b5581c2bab0849b,15.74
0x7c05baa35b832a4fce6da19b17c7c6336545f46d,26.82
0x730bbe154972f467062b3d91130ad36e67e55ca2,21.58
0x6bc8417f1716de63445ff73b6eb99ba949c8b0b1,25.55
0xfc9f4def09e35bf3595f6f93dcb16dffc3895973,
0x74725834fafd09e55e8f5b2e6685f376b7d5ccf1,25.23
0xee2b15802023c4ce4cefa5cb03438e1167e54abf,18.98
0x51102afca1fb28c349359643e2a28d8e40b97b8b,18.55
0x32057597286efed4d8833de4d7b57907e1cd4012,21.69
0x824d4cb20c7a60c88f83ab748012db401ded4835,28.58
0x7702081b6093764f5d1e573e4686fc5378958ee5,
0x5ae5e5278ce81a34b1fdfb737f7a6adaf8d110c4,30.65
0x79603115df2ba00659adc63192325cf104ca529c,29.72
0x702161763b21e21256c2ec8a79cb581ea39c0af3,36.09
0x3b7d646966a4f9c2814bd0b414818ab0cbd1242b,34.82
0xffa17ef7e40430c19adcb15fa7e20b52c205dec6,33.57
0x082b9b776e5d0b1771594676d12619f479b0a69c,36.49
0x4a0adf16c11455c3e87dcf192534bf6d27306759,15.12
0x174fe560f3d26aeb40a15ff3b90537a1a778b783,26.59
0x5f951483c6bc7f4146eee0ab2cf916ca165889ef,23.57
0xabdbe9a32fdf17e034914641106b46c65d79921b,26.48
0x9071ea83845ecff60b3f17fc5afca9a4b361e7f3,27.01
0xd3b0bd1b1d169daeea4fe6eee1c3016c6ac4fbd7,23.25
0xe2b52fc1ad49b93f85c45315ecbad740f17b0e8e,46.18
0xa601b8e67677f540aeb65c47229a8ecba7e5b984,25.97
0xe651e648a4a66af94961a04d99c5852bb0c74854,16.68
0x4f2c6a940efd99057091a1ddab9cee0eac048226,21.9
0x0f1687c086e7565c96b395f484c42aad406e6c14,40.27
0xca98ef2381fbd75ba80cacfcac6c9dd5710bc9ff,
0xa38ab4a1e951211316e667acebe89965c1b53e75,
0xdb2bccfb0428f6384f6571d4df48a639b593d15b,29.92
0xbf0218296dbd6ac24b7b358427c840556d6c0fb6,15.95
0x38e1dd020a84ed34ba0fc8be84aafb3922a51d22,19.28
0xb644c190cdcb41aab8f14ca82677e66c454d3e36,23.04
0xaffdfa5baa193bcea578faff5391c1e5d1299ec0,25.88
0x6d65aca6c7e880218a26e324e62422743d845316,35.24
0xce623ed1f79bede5a2ad8be7b4ea8edaf8102264,18.46
0x9a500847ffedbc3092b5e09ef421660066c8b5ac,21.48
0xca9e149c82c4d789123fc25f76792fef76c54930,26.51
0x73b38fcc7a571235e3f479ae69033e9962a6433b,21.9
0xf9dbc29f0ce21aa8379814c585f37d9a795c8c03,24.71
0xfc0c2df02b1616b05c22b3044c582c4150cfd3a9,32.02
0xe1431fd774c2e9c2bc2bcc050b44ce2c48f6163c,16.27
0x461e02f4cb125dbf92329a978ab0f1096bbef270,15.75
0x58455cc7ad62e8416f3a822cee6d3a080f053e91,18.46
0x83c9f34cf833517a749cc7c4b7f979791f65e640,37.14
0x4e29a86f1823441ab04e630ac365fa5abfb3e4eb,23.25
0xa944e92483ddc42e70358760d4a5276be8e82767,21.48
0x55aed0ce035883626e536254dda2f23a5b5d977f,52.43
0xf7767ff37d7dee778eda7bea5866e09e22f58329,28.28
0x4d477f1aabcfc2fc3fc9b802e861c013e0123ad9,43.61
0xe7b538967bf4417ad284bbca172f51524ddce063,39.01
0x5a3e010dec58bc934f167c66f2cc96b8bcb69d97,28.15
0x4b2f6d3a23badb60c8405d50289ef3dab9109936,34.61
0xaa89c84ad9673b2fe581a8dd3e549d72a287da18,21.69
0x95974b05b72921b6622731e1edbb43ef398e0fcf,33.68
0x5ac14cb24dce00a816579d2e313e83edf8a458ca,22.73
0x7a31e410ce1f6c49d5808cfea56885f4eb4a4de4,19.71
0x56de6e445d3181ca47825fad343313abca06d685,36.62
0x5e37117d59fcb05e44ece018327b2225bd39a1b7,29.93
0xd3b40526659c00ed9998d13aa8e45a13544bfbde,17.93
0x6f4b751ccb1d3bb498e86f0373c29f6158b8e1d2,33.39
0xb9ab102d9575cc21af6ca1f6de34257c8ef513b3,24.08
0x2138da688c9de36875d57083be16066784ef3e1b,18.46
